"","richness_id","density_id","rep","sown_seeds_res","inv_roots_bm_g","inv_abg_bm_g","cum_germ_perc_ciar","mean_rgr_height_ciar","res_root_bm_g","res_abg_bm_g","realized_sr","mean_rgr_height_res","cum_germ_perc_res","mean_mgr","wds_sla"
"40","M1","D2","M5",200,0.0056,0.0295,0.2,-0.005,8.5305,4.5731,1,0.02,0.42,0.22911051212938,0.0651724137931034
"41","M1","D2","O1",200,0.0491,0.1507,0.35,0.001,7.3717,4.7349,1,0.01,0.52,0.247596153846154,0.0248275862068966
"42","M1","D2","O2",200,0.1884,0.3225,0.45,0.003,6.0037,3.4378,1,0.03,0.51,0.149341142020498,0.0248275862068966
"43","M1","D2","O3",200,0.0283,0.0328,0.3,0.026,9.4115,3.5342,1,0.02,0.46,0.214953271028037,0.0248275862068966
"44","M1","D2","O4",200,0.0176,0.0112,0.2,0.021,6.0155,6.6316,1,0.01,0.54,0.266009852216749,0.0248275862068966
"45","M1","D2","O5",200,0.126,0.0927,0.25,0.011,11.6959,4.9597,1,0.01,0.56,0.248351648351648,0.0248275862068966
"46","M1","D2","R1",200,0.0219,0.1552,0.45,0.007,9.5045,4.751,1,0.01,0.42,0.243478260869565,0.00482758620689655
"47","M1","D2","R2",200,0.0277,0.1049,0.25,0.051,6.0434,4.5135,1,0.02,0.32,0.172972972972973,0.00482758620689655
"48","M1","D2","R3",200,0.0044,0.0158,0.3,0.012,5.2461,7.1709,1,0.04,0.26,0.169934640522876,0.00482758620689655
"49","M1","D2","R4",200,0.1621,0.2575,0.2,NA,5.7119,5.9926,1,NA,0.31,0.255144032921811,0.00482758620689655
"50","M1","D2","R5",200,0.1798,0.1818,0.45,-0.005,3.8668,4.759,1,0.02,0.36,0.213450292397661,0.00482758620689655
"51","M1","D3","A1",400,0.764,1.0233,0.4,0.01,7.1749,4.8946,1,0.01,0.26,0.199616122840691,0.115172413793103
"52","M1","D3","A2",400,0.2205,0.6526,0.55,0.01,15.3017,5.9189,1,0.01,0.25,0.230232558139535,0.115172413793103
"53","M1","D3","A3",400,0.0351,0.2902,0.15,0.055,15.4161,8.2217,1,0.01,0.21,0.235294117647059,0.115172413793103
"54","M1","D3","A4",400,0.0056,0.0078,0.15,NA,10.9183,6.806,1,NA,0.22,0.215496368038741,0.115172413793103
"55","M1","D3","A5",400,1.0428,0.6046,0.4,0.006,15.0213,7.432,1,0.01,0.22,0.20979020979021,0.115172413793103
"56","M1","D3","H1",400,2.1524,1.8934,0.65,0.016,1.422,2.9129,1,0.01,0.1,0.305970149253731,0.225172413793103
"57","M1","D3","H2",400,3.6697,3.2728,0.2,0.036,1.3443,1.5701,1,0.02,0.05,0.339285714285714,0.225172413793103
