"","week","richness_id","density_id","rep","sown_seeds","cum_germ_perc_ciar","cum_germ_perc_res","mean_mgt","mean_mgr"
"80",12,"M2","D1","5",48,0.35,0.19,1.92857142857143,0.518518518518518
"81",12,"M1","D2","H3",200,0.4,0.1,5.85714285714286,0.170731707317073
"82",12,"M2","D2","5",200,0.4,0.25,4.16,0.240384615384615
"83",12,"M4","D2","5",200,0.1,0.28,5.02887426900585,0.198851660731158
"84",12,"M2","D1","4",48,0.45,0.77,3.93429487179487,0.254175152749491
"85",12,"M4","D1","5",48,0.5,0.33,4.75,0.210526315789474
"86",12,"M1","D1","R1",48,0.45,0.27,3.76923076923077,0.26530612244898
"87",12,"M1","D1","M4",48,0.55,0.33,3.25,0.307692307692308
"88",12,"M1","D2","A4",200,0.55,0.2,4.12820512820513,0.24223602484472
"89",12,"M1","D1","O4",48,0.25,0.46,4.13636363636364,0.241758241758242
"90",12,"M1","D2","O5",200,0.25,0.56,4.02654867256637,0.248351648351648
"91",12,"M4","D1","1",48,0.25,0.27,6.66666666666667,0.15
"92",12,"M1","D1","H5",48,0.4,0.06,9.33333333333333,0.107142857142857
"93",12,"M2","D3","5",400,0.1,0.36,2.82820512820513,0.353581142339075
"94",12,"M1","D2","O1",200,0.35,0.52,4.03883495145631,0.247596153846154
"95",12,"M2","D2","2",200,0.35,0.44,4.53209109730849,0.220648698035633
"96",12,"M1","D3","A4",400,0.15,0.22,4.64044943820225,0.215496368038741
"97",12,"M1","D3","R4",400,0.3,0.27,3.73148148148148,0.267990074441687
"98",12,"M1","D2","H1",200,0.2,0.06,5.30769230769231,0.188405797101449
"99",12,"M1","D2","R4",200,0.2,0.31,3.91935483870968,0.255144032921811
"100",12,"M1","D1","R5",48,0.35,0.46,3.77272727272727,0.265060240963855
"101",12,"M2","D1","3",48,0.55,0.1,4.8,0.208333333333333
"102",12,"M1","D3","M4",400,0.45,0.44,3.45762711864407,0.28921568627451
"103",12,"M1","D3","H1",400,0.65,0.1,3.26829268292683,0.305970149253731
"104",12,"M1","D2","A2",200,0.25,0.14,3.25925925925926,0.306818181818182
"105",12,"M1","D3","O1",400,0.35,0.44,3.64,0.274725274725275
