"","Richness_ID","Density_ID","Rep","res_root_bm_g","inv_roots_bm_g","res_abg_bm_g","realized_sr","inv_abg_bm_g","num_invaders"
"89","M4","D1","1",1.3558,1.3958,1.3313,4,1.3536,4
"90","M4","D1","2",1.109,0.1109,3.4469,4,0.1148,5
"91","M4","D1","3",2.3826,0,7.1942,4,0,1
"92","M4","D1","4",0.6567,0.0071,0.3453,4,0.0119,1
"93","M4","D1","5",5.9205,2.0904,8.2365,4,1.6492,9
"94","M4","D2","1",6.0345,0.1577,4.4949,4,0.3232,7
"95","M4","D2","2",3.7126,0.0164,9.7542,4,0.0697,3
"96","M4","D2","3",6.5376,0.219,13.7414,4,0.0978,11
"97","M4","D2","4",5.5958,0.0753,4.7734,3,0.3615,3
"98","M4","D2","5",1.9309,0.1479,3.8819,4,NA,1
"99","M4","D3","1",3.0863,0.4429,3.7512,4,0.3498,8
"100","M4","D3","2",2.7048,0.2659,3.5445,4,0.3012,3
"101","M4","D3","3",1.5182,0.0311,1.094,2,0.099,1
"102","M4","D3","4",4.323,0.0101,7.0122,4,0.0353,5
"103","M4","D3","5",3.7001,0.894,11.1942,4,0.3411,7
